Idusuario,Deslogin,Dessenha,Dtcadastro
19,aluno,@lun0,2021-06-11 15:17:54
20,aluno,@lun0,2021-06-11 15:17:56
21,aluno,@lun0,2021-06-11 15:20:24
5,João,qwerty,2019-10-24 15:00:08
11,José,123456789,2021-06-04 16:08:37
13,José,1234567890,2021-06-04 16:24:12
9,professor,!@#$%¨&*,2019-11-04 16:39:54
4,root,!@#$,2019-10-24 14:46:39
16,root,!@$%#,2021-06-09 15:41:40
18,root,!@$%#,2021-06-09 15:46:52
12,root2,!@#$%&,2021-06-04 16:13:20
22,root2,!@#$%&,2021-06-11 16:13:31
14,user,12345,2021-06-09 15:33:15
15,user,12345,2021-06-09 15:41:40
17,user,12345,2021-06-09 15:46:52
